Source,Target,Time_start
563,563,1080090740.0
674,674,1080717604.0
571,571,1081366428.0
667,667,1082012911.0
563,667,1082033761.0
822,822,1082137282.0
730,822,1082148639.0
552,552,1082395129.0
1889,1889,1082395452.0
1859,1859,1082395557.0
1487,1487,1082399972.0
1489,1489,1082401253.0
1356,1356,1082406909.0
1356,667,1082407191.0
751,751,1082407300.0
1792,1792,1082410641.0
1351,1351,1082411398.0
1155,1155,1082411521.0
1074,1074,1082412995.0
675,675,1082413704.0
677,677,1082413845.0
1659,1659,1082413918.0
679,679,1082414510.0
149,149,1082415249.0
1319,1319,1082416075.0
311,311,1082419006.0
889,889,1082419491.0
126,126,1082419508.0
296,296,1082419598.0
1270,1270,1082419811.0
1483,1483,1082420000.0
1512,1512,1082420304.0
1077,1077,1082422024.0
671,671,1082422773.0
1771,1771,1082423948.0
615,615,1082424894.0
941,941,1082425045.0
566,566,1082425164.0
1864,1864,1082426368.0
1031,1031,1082426423.0
438,438,1082428050.0
1073,1073,1082429122.0
1083,1083,1082429885.0
672,672,1082430353.0
317,317,1082430702.0
748,748,1082431427.0
993,993,1082431597.0
673,673,1082431918.0
203,203,1082431951.0
678,678,1082432199.0
993,1083,1082432419.0
56,56,1082432523.0
1512,1083,1082432556.0
670,670,1082432894.0
1078,1078,1082433147.0
1270,671,1082433203.0
192,192,1082433236.0
1480,1480,1082433247.0
1270,670,1082433253.0
918,918,1082433810.0
361,361,1082433954.0
673,672,1082433988.0
152,152,1082434455.0
1270,675,1082434554.0
1270,674,1082434624.0
26,26,1082434656.0
1270,677,1082434695.0
676,676,1082434755.0
1270,676,1082434953.0
1075,1075,1082435002.0
1270,675,1082435128.0
1270,679,1082435360.0
1563,1563,1082435822.0
678,679,1082435823.0
568,568,1082436069.0
1545,1545,1082437254.0
1076,1076,1082437293.0
1631,1631,1082437327.0
1072,1072,1082437391.0
1529,1529,1082437554.0
1075,1076,1082437744.0
1650,1650,1082437916.0
369,369,1082438491.0
1557,1557,1082440433.0
818,818,1082440433.0
1071,1071,1082441237.0
1066,1066,1082441444.0
1158,1158,1082441796.0
1537,1537,1082442005.0
678,1077,1082442874.0
1512,1078,1082443043.0
1270,1071,1082443445.0
1270,1077,1082443456.0
523,523,1082443646.0
573,573,1082443968.0
1855,1855,1082444181.0
278,278,1082445611.0
55,55,1082445633.0
362,362,1082449329.0
1482,1482,1082450147.0
